epoch,value,split
0,0.10154,train
0,0.1011,test
1,0.36298,train
1,0.3672,test
2,0.43544,train
2,0.4387,test
3,0.4855,train
3,0.4756,test
4,0.50692,train
4,0.4878,test
5,0.52584,train
5,0.4925,test
7,0.55746,train
7,0.5074,test
10,0.5967,train
10,0.5192,test
14,0.61068,train
14,0.5157,test
20,0.67274,train
20,0.5409,test
30,0.71422,train
30,0.5543,test
40,0.736,train
40,0.5468,test
50,0.73254,train
50,0.5488,test
70,0.87072,train
70,0.5823,test
100,0.92924,train
100,0.5576,test
130,0.93826,train
130,0.559,test
160,0.97004,train
160,0.5655,test
200,0.97438,train
200,0.5632,test
