epoch,value,layer_name
0,10567045.0,model.0
0,10567045.0,model.1
0,2545248.5,model.2
0,1595737.125,model.3
0,928502.6875,model.4
0,592662.75,model.5
0,345997.75,model.6
0,225208.78125,model.7
0,129203.7421875,model.8
0,88124.15625,model.9
0,50575.3125,model.10
0,34786.84765625,model.11
0,10567045.0,model
0,10567045.0,
1,11017548.0,model.0
1,11017548.0,model.1
1,2720083.5,model.2
1,1569092.5,model.3
1,815579.125,model.4
1,581898.3125,model.5
1,324441.1875,model.6
1,256952.40625,model.7
1,152005.21875,model.8
1,123508.8984375,model.9
1,75282.0234375,model.10
1,62435.4765625,model.11
1,11017548.0,model
1,11017548.0,
2,11195366.0,model.0
2,11195366.0,model.1
2,2621098.5,model.2
2,1494019.5,model.3
2,661811.5,model.4
2,486404.09375,model.5
2,250764.59375,model.6
2,207062.109375,model.7
2,121169.46875,model.8
2,102337.1640625,model.9
2,64406.23828125,model.10
2,53853.0703125,model.11
2,11195366.0,model
2,11195366.0,
3,10379810.0,model.0
3,10379810.0,model.1
3,2641102.75,model.2
3,1511641.625,model.3
3,566618.8125,model.4
3,423022.75,model.5
3,196657.453125,model.6
3,164133.046875,model.7
3,96364.7890625,model.8
3,82089.953125,model.9
3,53860.4921875,model.10
3,44470.30078125,model.11
3,10379810.0,model
3,10379810.0,
4,10977888.0,model.0
4,10977888.0,model.1
4,2802540.75,model.2
4,1545888.5,model.3
4,488245.375,model.4
4,366266.34375,model.5
4,159951.421875,model.6
4,134895.453125,model.7
4,80981.9765625,model.8
4,68553.390625,model.9
4,45846.17578125,model.10
4,37129.62890625,model.11
4,10977888.0,model
4,10977888.0,
5,11355458.0,model.0
5,11355458.0,model.1
5,3021973.75,model.2
5,1653367.5,model.3
5,464654.0625,model.4
5,350297.375,model.5
5,148306.671875,model.6
5,126167.21875,model.7
5,79298.2421875,model.8
5,67199.421875,model.9
5,46835.16015625,model.10
5,37569.41015625,model.11
5,11355458.0,model
5,11355458.0,
7,11175675.0,model.0
7,11175675.0,model.1
7,3148834.5,model.2
7,1703715.875,model.3
7,377162.75,model.4
7,287611.15625,model.5
7,120038.65625,model.6
7,102150.5,model.7
7,67539.25,model.8
7,56105.21484375,model.9
7,39953.75,model.10
7,31204.05859375,model.11
7,11175675.0,model
7,11175675.0,
10,10584327.0,model.0
10,10584327.0,model.1
10,3432890.5,model.2
10,1866690.625,model.3
10,320084.96875,model.4
10,243914.078125,model.5
10,107416.1953125,model.6
10,90153.1796875,model.7
10,64302.76953125,model.8
10,51256.27734375,model.9
10,37945.0,model.10
10,28619.7109375,model.11
10,10584327.0,model
10,10584327.0,
14,10798117.0,model.0
14,10798117.0,model.1
14,3757987.0,model.2
14,2037789.75,model.3
14,298932.3125,model.4
14,220347.03125,model.5
14,104444.6484375,model.6
14,86410.703125,model.7
14,62455.65625,model.8
14,49061.71875,model.9
14,36361.546875,model.10
14,27314.84765625,model.11
14,10798117.0,model
14,10798117.0,
20,10972919.0,model.0
