epoch,value,layer_name
0,12226813.0,model.flatten
0,12226813.0,model.fc0
0,4082434.75,model.relu0
0,2525826.0,model.fc1
0,1452524.0,model.relu1
0,920557.5,model.fc2
0,534012.1875,model.relu2
0,349826.125,model.fc3
0,202226.546875,model.relu3
0,132011.15625,model.fc4
0,76189.9765625,model.relu4
0,53311.52734375,model.fc5
0,31361.578125,model.relu5
0,21513.244140625,model.fc6
0,12482.1513671875,model.relu6
0,8725.748046875,model.fc7
0,4979.54541015625,model.relu7
0,3559.1689453125,model.fc8
0,2007.80908203125,model.relu8
0,1386.3458251953125,model.fc9
0,795.387939453125,model.relu9
0,566.4035034179688,model.fc10
0,12226813.0,model
0,12226813.0,
1,11090574.0,model.flatten
1,11090574.0,model.fc0
1,3246537.5,model.relu0
1,2014945.375,model.fc1
1,1021903.1875,model.relu1
1,644141.8125,model.fc2
1,326818.875,model.relu2
1,213501.5625,model.fc3
1,107502.7734375,model.relu3
1,70972.984375,model.fc4
1,36314.81640625,model.relu4
1,25469.8046875,model.fc5
1,13125.912109375,model.relu5
1,9184.1806640625,model.fc6
1,4673.0849609375,model.relu6
1,3263.2890625,model.fc7
1,1628.928955078125,model.relu7
1,1161.2880859375,model.fc8
1,586.711669921875,model.relu8
1,401.5914306640625,model.fc9
1,204.37185668945312,model.relu9
1,137.25401306152344,model.fc10
1,11090574.0,model
1,11090574.0,
2,11563087.0,model.flatten
2,11563087.0,model.fc0
2,2999594.0,model.relu0
2,1847226.5,model.fc1
2,823874.375,model.relu1
2,518779.78125,model.fc2
2,228442.53125,model.relu2
2,149784.484375,model.fc3
2,66416.046875,model.relu3
2,43911.59375,model.fc4
2,19565.28125,model.relu4
2,13620.6220703125,model.fc5
2,6046.4931640625,model.relu5
2,4282.5126953125,model.fc6
2,1933.912353515625,model.relu6
2,1360.0960693359375,model.fc7
2,599.807373046875,model.relu7
2,427.9776611328125,model.fc8
2,191.30882263183594,model.relu8
2,130.61813354492188,model.fc9
2,58.69047546386719,model.relu9
2,38.88951873779297,model.fc10
2,11563087.0,model
2,11563087.0,
3,11247473.0,model.flatten
3,11247474.0,model.fc0
3,2549192.5,model.relu0
3,1560855.375,model.fc1
3,610436.875,model.relu1
3,384721.125,model.fc2
