epoch,value,layer_name,trace
0,225800.072265625,model.flatten,within
0,169.10387468338013,model.flatten,between
0,225969.17614030838,model.flatten,sum
0,225800.072265625,model.fc0,within
0,169.10387468338013,model.fc0,between
0,225969.17614030838,model.fc0,sum
0,25439.8681640625,model.relu0,within
0,19.26901137828827,model.relu0,between
0,25459.13717544079,model.relu0,sum
0,8883.985717773438,model.fc1,within
0,5.635417655110359,model.fc1,between
0,8889.621135428548,model.fc1,sum
0,2947.287841796875,model.relu1,within
0,1.8463076278567314,model.relu1,between
0,2949.1341494247317,model.relu1,sum
0,1115.0646438598633,model.fc2,within
0,0.6440052483230829,model.fc2,between
0,1115.7086491081864,model.fc2,sum
0,366.23849868774414,model.relu2,within
0,0.20696664322167635,model.relu2,between
0,366.4454653309658,model.relu2,sum
0,151.63275337219238,model.fc3,within
0,0.08197652967646718,model.fc3,between
0,151.71472990186885,model.fc3,sum
0,50.658541440963745,model.relu3,within
0,0.027690049610100687,model.relu3,between
0,50.686231490573846,model.relu3,sum
0,20.886468529701233,model.fc4,within
0,0.01107028586557135,model.fc4,between
0,20.897538815566804,model.fc4,sum
0,7.034431219100952,model.relu4,within
0,0.003779702208703384,model.relu4,between
0,7.0382109213096555,model.relu4,sum
0,3.268034443259239,model.fc5,within
0,0.001654267187404912,model.fc5,between
0,3.269688710446644,model.fc5,sum
0,1.1001739501953125,model.relu5,within
0,0.0005452777913887985,model.relu5,between
0,1.1007192279867013,model.relu5,sum
0,0.5227914899587631,model.fc6,within
0,0.0002634640477481298,model.fc6,between
0,0.5230549540065113,model.fc6,sum
0,0.17439484130591154,model.relu6,within
0,8.550338998247753e-05,model.relu6,between
0,0.17448034469589402,model.relu6,sum
0,0.08534259395673871,model.fc7,within
0,4.193767699689488e-05,model.fc7,between
0,0.0853845316337356,model.fc7,sum
0,0.02829947299323976,model.relu7,within
0,1.4385917495474132e-05,model.relu7,between
0,0.028313858910735235,model.relu7,sum
0,0.014428188209421933,model.fc8,within
0,7.281144149828833e-06,model.fc8,between
0,0.014435469353571762,model.fc8,sum
0,0.004819266381673515,model.relu8,within
0,2.5809171475543735e-06,model.relu8,between
0,0.004821847298821069,model.relu8,sum
0,0.0023527033190475777,model.fc9,within
0,1.3081293488426127e-06,model.fc9,between
0,0.0023540114483964203,model.fc9,sum
0,0.0007924764904601034,model.relu9,within
0,4.494571221869137e-07,model.relu9,between
0,0.0007929259475822903,model.relu9,sum
0,0.000396504239688511,model.fc10,within
0,2.2008015765351274e-07,model.fc10,between
0,0.0003967243198461645,model.fc10,sum
0,225800.072265625,model,within
0,169.10387468338013,model,between
0,225969.17614030838,model,sum
0,225800.072265625,,within
0,169.10387468338013,,between
0,225969.17614030838,,sum
1,227166.3203125,model.flatten,within
1,215.1026668548584,model.flatten,between
1,227381.42297935486,model.flatten,sum
1,227166.3203125,model.fc0,within
1,215.10266733169556,model.fc0,between
1,227381.4229798317,model.fc0,sum
1,19799.903564453125,model.relu0,within
1,19.093568563461304,model.relu0,between
1,19818.997133016586,model.relu0,sum
1,6918.188262939453,model.fc1,within
1,5.570079788565636,model.fc1,between
1,6923.758342728019,model.fc1,sum
1,1775.5975799560547,model.relu1,within
1,1.4163059815764427,model.relu1,between
1,1777.0138859376311,model.relu1,sum
1,671.6101455688477,model.fc2,within
1,0.4991388563066721,model.fc2,between
1,672.1092844251543,model.fc2,sum
1,170.82009410858154,model.relu2,within
1,0.1258042175322771,model.relu2,between
1,170.94589832611382,model.relu2,sum
1,70.82968473434448,model.fc3,within
1,0.050348521675914526,model.fc3,between
1,70.8800332560204,model.fc3,sum
1,18.32542359828949,model.relu3,within
1,0.013394586858339608,model.relu3,between
1,18.33881818514783,model.relu3,sum
1,7.654083430767059,model.fc4,within
1,0.005350059189368039,model.fc4,between
1,7.659433489956427,model.fc4,sum
1,1.996143415570259,model.relu4,within
1,0.0014117090358922724,model.relu4,between
1,1.9975551246061514,model.relu4,sum
1,0.9408174827694893,model.fc5,within
1,0.0006297820327745285,model.fc5,between
1,0.9414472648022638,model.fc5,sum
1,0.2434526737779379,model.relu5,within
1,0.00015820130465726834,model.relu5,between
1,0.24361087508259516,model.relu5,sum
1,0.11884180549532175,model.fc6,within
1,7.772448634568718e-05,model.fc6,between
1,0.11891952998166744,model.fc6,sum
1,0.030653525609523058,model.relu6,within
1,1.9893588898867165e-05,model.relu6,between
1,0.030673419198421925,model.relu6,sum
1,0.015144776552915573,model.fc7,within
1,9.897720616436345e-06,model.fc7,between
1,0.01515467427353201,model.fc7,sum
1,0.00389762144186534,model.relu7,within
1,2.6524708900410587e-06,model.relu7,between
1,0.003900273912755381,model.relu7,sum
1,0.0019894464930985123,model.fc8,within
1,1.3838154622192178e-06,model.fc8,between
1,0.0019908303085607315,model.fc8,sum
1,0.0005210729250393342,model.relu8,within
1,3.7268858754657685e-07,model.relu8,between
1,0.0005214456136268808,model.relu8,sum
1,0.0002451742893754272,model.fc9,within
1,1.7721527312275498e-07,model.fc9,between
1,0.00024535150464854993,model.fc9,sum
1,6.3570812017133e-05,model.relu9,within
1,4.6204692405460435e-08,model.relu9,between
1,6.361701670953845e-05,model.relu9,sum
1,2.843735478563758e-05,model.fc10,within
1,2.0301728631544336e-08,model.fc10,between
1,2.8457656514269125e-05,model.fc10,sum
1,227166.3203125,model,within
1,215.1026668548584,model,between
1,227381.42297935486,model,sum
1,227166.3203125,,within
1,215.1026668548584,,between
1,227381.42297935486,,sum
2,228932.791015625,model.flatten,within
2,238.88317441940308,model.flatten,between
2,229171.6741900444,model.flatten,sum
2,228932.791015625,model.fc0,within
2,238.88317823410034,model.fc0,between
2,229171.6741938591,model.fc0,sum
2,15357.04150390625,model.relu0,within
2,16.11453726887703,model.relu0,between
2,15373.156041175127,model.relu0,sum
2,5362.196960449219,model.fc1,within
2,4.57814359664917,model.fc1,between
2,5366.775104045868,model.fc1,sum
2,1058.9449081420898,model.relu1,within
2,0.8777514174580574,model.relu1,between
2,1059.822659559548,model.relu1,sum
2,400.644323348999,model.fc2,within
2,0.3068823693320155,model.fc2,between
2,400.95120571833104,model.fc2,sum
2,78.35930681228638,model.relu2,within
2,0.06018952908925712,model.relu2,between
2,78.41949634137563,model.relu2,sum
2,32.61795496940613,model.fc3,within
2,0.02370616456028074,model.fc3,between
2,32.64166113396641,model.fc3,sum
2,6.49095493555069,model.relu3,within
2,0.004909451134153642,model.relu3,between
2,6.495864386684843,model.relu3,sum
2,2.7739576548337936,model.fc4,within
2,0.002027656591963023,model.fc4,between
2,2.7759853114257567,model.fc4,sum
2,0.5567982047796249,model.relu4,within
2,0.0004180397263553459,model.relu4,between
2,0.5572162445059803,model.relu4,sum
