epoch,value,split
0,0.09832,train
0,0.0994,test
1,0.13244,train
1,0.137,test
2,0.13324,train
2,0.1375,test
3,0.14912,train
3,0.1594,test
4,0.15794,train
4,0.1581,test
5,0.16618,train
5,0.1716,test
7,0.18152,train
7,0.1815,test
10,0.20844,train
10,0.2077,test
14,0.31396,train
14,0.3169,test
20,0.56398,train
20,0.5524,test
30,0.77142,train
30,0.6926,test
40,0.85784,train
40,0.7299,test
50,0.88168,train
50,0.7415,test
70,0.8917,train
70,0.7334,test
100,0.98568,train
100,0.7706,test
130,0.90398,train
130,0.7388,test
160,0.91282,train
160,0.742,test
200,0.97794,train
200,0.7645,test
