epoch,value,layer_name
0,10407981.0,conv1
0,6835967.5,bn1
0,4117779.5,relu
0,4117779.5,maxpool
0,2308794.5,layer1.0.conv1
0,2998982.5,layer1.0.bn1
0,2759306.5,layer1.0.relu
0,1876220.125,layer1.0.conv2
0,2436575.25,layer1.0.bn2
0,2308794.5,layer1.0
0,2759306.5,layer1.1.conv1
0,3588126.25,layer1.1.bn1
0,3423272.75,layer1.1.relu
0,2425019.5,layer1.1.conv2
0,3239308.25,layer1.1.bn2
0,2759306.5,layer1.1
0,2308794.5,layer1
0,3423272.75,layer2.0.conv1
0,2246584.25,layer2.0.bn1
0,2040718.375,layer2.0.relu
0,1504875.75,layer2.0.conv2
0,1831698.0,layer2.0.bn2
0,3423272.75,layer2.0.downsample.0
0,2499893.5,layer2.0.downsample.1
0,3423272.75,layer2.0.downsample
0,3423272.75,layer2.0
0,2040718.375,layer2.1.conv1
0,2501009.0,layer2.1.bn1
0,2408763.0,layer2.1.relu
0,1670769.625,layer2.1.conv2
0,2035764.75,layer2.1.bn2
0,2040718.375,layer2.1
0,3423272.75,layer2
0,2408763.0,layer3.0.conv1
0,1460441.25,layer3.0.bn1
0,1263681.75,layer3.0.relu
0,1001855.9375,layer3.0.conv2
0,946896.1875,layer3.0.bn2
0,2408763.0,layer3.0.downsample.0
0,1652052.25,layer3.0.downsample.1
0,2408763.0,layer3.0.downsample
0,2408763.0,layer3.0
0,1263681.75,layer3.1.conv1
0,1182020.125,layer3.1.bn1
0,1336968.5,layer3.1.relu
0,811164.375,layer3.1.conv2
0,764605.5625,layer3.1.bn2
0,1263681.75,layer3.1
0,2408763.0,layer3
0,1336968.5,layer4.0.conv1
0,630368.6875,layer4.0.bn1
0,579782.5,layer4.0.relu
0,428085.25,layer4.0.conv2
0,202043.1875,layer4.0.bn2
0,1336968.5,layer4.0.downsample.0
0,812072.5625,layer4.0.downsample.1
0,1336968.5,layer4.0.downsample
0,1336968.5,layer4.0
0,579782.5,layer4.1.conv1
0,272918.375,layer4.1.bn1
0,576532.0,layer4.1.relu
0,177607.578125,layer4.1.conv2
0,82829.9765625,layer4.1.bn2
0,579782.5,layer4.1
0,1336968.5,layer4
0,576532.0,avgpool
0,576532.0,fc
0,10407981.0,
1,11453944.0,conv1
1,500446464.0,bn1
1,13351870.0,relu
1,13351870.0,maxpool
1,7420222.0,layer1.0.conv1
1,171276224.0,layer1.0.bn1
1,12788466.0,layer1.0.relu
1,6403475.0,layer1.0.conv2
1,162635584.0,layer1.0.bn2
1,7420222.0,layer1.0
1,12788466.0,layer1.1.conv1
1,289313760.0,layer1.1.bn1
1,19962810.0,layer1.1.relu
1,7731238.0,layer1.1.conv2
1,168561872.0,layer1.1.bn2
1,12788466.0,layer1.1
1,7420222.0,layer1
1,19962810.0,layer2.0.conv1
1,375646944.0,layer2.0.bn1
1,13701692.0,layer2.0.relu
1,6975608.5,layer2.0.conv2
1,246933664.0,layer2.0.bn2
1,19962810.0,layer2.0.downsample.0
1,68187680.0,layer2.0.downsample.1
1,19962810.0,layer2.0.downsample
1,19962810.0,layer2.0
1,13701692.0,layer2.1.conv1
1,427331808.0,layer2.1.bn1
1,22810694.0,layer2.1.relu
1,9688740.0,layer2.1.conv2
1,353847488.0,layer2.1.bn2
1,13701692.0,layer2.1
1,19962810.0,layer2
1,22810694.0,layer3.0.conv1
1,760666624.0,layer3.0.bn1
1,16408039.0,layer3.0.relu
1,8567099.0,layer3.0.conv2
1,589151360.0,layer3.0.bn2
1,22810694.0,layer3.0.downsample.0
1,225971392.0,layer3.0.downsample.1
1,22810694.0,layer3.0.downsample
1,22810694.0,layer3.0
1,16408039.0,layer3.1.conv1
1,717316224.0,layer3.1.bn1
1,26772870.0,layer3.1.relu
1,13040364.0,layer3.1.conv2
1,1482408960.0,layer3.1.bn2
1,16408039.0,layer3.1
1,22810694.0,layer3
1,26772870.0,layer4.0.conv1
1,3903025920.0,layer4.0.bn1
1,2558301.25,layer4.0.relu
1,8345755.5,layer4.0.conv2
1,2389161984.0,layer4.0.bn2
1,26772870.0,layer4.0.downsample.0
1,4491101184.0,layer4.0.downsample.1
1,26772870.0,layer4.0.downsample
1,26772870.0,layer4.0
1,2558301.25,layer4.1.conv1
1,250864352.0,layer4.1.bn1
1,372263.71875,layer4.1.relu
1,10132388.0,layer4.1.conv2
1,2021588352.0,layer4.1.bn2
1,2558301.25,layer4.1
1,26772870.0,layer4
1,372263.71875,avgpool
1,372263.71875,fc
1,11453944.0,
2,10854831.0,conv1
2,416055776.0,bn1
2,11212588.0,relu
2,11212588.0,maxpool
2,6276140.0,layer1.0.conv1
2,131504584.0,layer1.0.bn1
2,11536946.0,layer1.0.relu
2,5633969.0,layer1.0.conv2
2,131405504.0,layer1.0.bn2
2,6276140.0,layer1.0
2,11536946.0,layer1.1.conv1
2,246282448.0,layer1.1.bn1
2,18977998.0,layer1.1.relu
2,7309864.5,layer1.1.conv2
2,147595376.0,layer1.1.bn2
2,11536946.0,layer1.1
2,6276140.0,layer1
2,18977998.0,layer2.0.conv1
2,336674272.0,layer2.0.bn1
2,13693398.0,layer2.0.relu
2,6913384.0,layer2.0.conv2
2,225960880.0,layer2.0.bn2
2,18977998.0,layer2.0.downsample.0
2,59785564.0,layer2.0.downsample.1
2,18977998.0,layer2.0.downsample
2,18977998.0,layer2.0
2,13693398.0,layer2.1.conv1
2,405443072.0,layer2.1.bn1
2,23616252.0,layer2.1.relu
2,10423115.0,layer2.1.conv2
2,352799328.0,layer2.1.bn2
2,13693398.0,layer2.1
2,18977998.0,layer2
2,23616252.0,layer3.0.conv1
2,742408448.0,layer3.0.bn1
2,18198044.0,layer3.0.relu
2,9249989.0,layer3.0.conv2
2,645686400.0,layer3.0.bn2
2,23616252.0,layer3.0.downsample.0
2,217196976.0,layer3.0.downsample.1
2,23616252.0,layer3.0.downsample
2,23616252.0,layer3.0
2,18198044.0,layer3.1.conv1
2,797217792.0,layer3.1.bn1
2,30549688.0,layer3.1.relu
2,15630376.0,layer3.1.conv2
2,1819840768.0,layer3.1.bn2
2,18198044.0,layer3.1
2,23616252.0,layer3
2,30549688.0,layer4.0.conv1
2,4597591552.0,layer4.0.bn1
2,3330446.25,layer4.0.relu
2,10753683.0,layer4.0.conv2
2,2911031552.0,layer4.0.bn2
2,30549688.0,layer4.0.downsample.0
2,4378963968.0,layer4.0.downsample.1
2,30549688.0,layer4.0.downsample
2,30549688.0,layer4.0
2,3330446.25,layer4.1.conv1
2,183759088.0,layer4.1.bn1
2,480210.21875,layer4.1.relu
2,11987483.0,layer4.1.conv2
2,1768137216.0,layer4.1.bn2
2,3330446.25,layer4.1
2,30549688.0,layer4
2,480210.21875,avgpool
2,480210.21875,fc
2,10854831.0,
3,10063381.0,conv1
3,333850304.0,bn1
3,9439618.0,relu
3,9439618.0,maxpool
3,5428596.0,layer1.0.conv1
3,101761136.0,layer1.0.bn1
3,10077157.0,layer1.0.relu
3,4948845.5,layer1.0.conv2
3,99063104.0,layer1.0.bn2
3,5428596.0,layer1.0
3,10077157.0,layer1.1.conv1
3,187676528.0,layer1.1.bn1
3,16401192.0,layer1.1.relu
3,6336734.0,layer1.1.conv2
3,108196824.0,layer1.1.bn2
3,10077157.0,layer1.1
3,5428596.0,layer1
3,16401192.0,layer2.0.conv1
3,249961056.0,layer2.0.bn1
3,11067971.0,layer2.0.relu
3,5719704.5,layer2.0.conv2
3,160625792.0,layer2.0.bn2
3,16401192.0,layer2.0.downsample.0
3,44255068.0,layer2.0.downsample.1
3,16401192.0,layer2.0.downsample
3,16401192.0,layer2.0
3,11067971.0,layer2.1.conv1
3,274921760.0,layer2.1.bn1
3,17861566.0,layer2.1.relu
3,7393727.5,layer2.1.conv2
3,198904672.0,layer2.1.bn2
3,11067971.0,layer2.1
3,16401192.0,layer2
3,17861566.0,layer3.0.conv1
3,441382784.0,layer3.0.bn1
3,11686568.0,layer3.0.relu
3,6249688.0,layer3.0.conv2
3,293196736.0,layer3.0.bn2
3,17861566.0,layer3.0.downsample.0
3,134646752.0,layer3.0.downsample.1
3,17861566.0,layer3.0.downsample
3,17861566.0,layer3.0
3,11686568.0,layer3.1.conv1
3,358946208.0,layer3.1.bn1
3,18859676.0,layer3.1.relu
3,8619710.0,layer3.1.conv2
3,898160768.0,layer3.1.bn2
3,11686568.0,layer3.1
3,17861566.0,layer3
3,18859676.0,layer4.0.conv1
3,2307595520.0,layer4.0.bn1
3,2089882.75,layer4.0.relu
3,5865628.5,layer4.0.conv2
3,1102715392.0,layer4.0.bn2
3,18859676.0,layer4.0.downsample.0
3,1799957632.0,layer4.0.downsample.1
3,18859676.0,layer4.0.downsample
3,18859676.0,layer4.0
3,2089882.75,layer4.1.conv1
3,112775536.0,layer4.1.bn1
3,285997.0625,layer4.1.relu
3,8238711.0,layer4.1.conv2
3,1008047616.0,layer4.1.bn2
3,2089882.75,layer4.1
3,18859676.0,layer4
3,285997.0625,avgpool
3,285997.0625,fc
3,10063381.0,
4,10345503.0,conv1
4,302991040.0,bn1
4,8386446.0,relu
4,8386446.0,maxpool
4,4858032.5,layer1.0.conv1
4,78348888.0,layer1.0.bn1
4,8632429.0,layer1.0.relu
4,4344428.5,layer1.0.conv2
4,74095104.0,layer1.0.bn2
4,4858032.5,layer1.0
4,8632429.0,layer1.1.conv1
4,134098088.0,layer1.1.bn1
4,13572504.0,layer1.1.relu
4,5275663.5,layer1.1.conv2
4,77178072.0,layer1.1.bn2
4,8632429.0,layer1.1
4,4858032.5,layer1
4,13572504.0,layer2.0.conv1
4,173107920.0,layer2.0.bn1
4,9230165.0,layer2.0.relu
4,4721756.0,layer2.0.conv2
4,113434520.0,layer2.0.bn2
4,13572504.0,layer2.0.downsample.0
4,31154698.0,layer2.0.downsample.1
4,13572504.0,layer2.0.downsample
4,13572504.0,layer2.0
4,9230165.0,layer2.1.conv1
4,196435264.0,layer2.1.bn1
4,15640386.0,layer2.1.relu
4,6761128.5,layer2.1.conv2
4,192287552.0,layer2.1.bn2
4,9230165.0,layer2.1
4,13572504.0,layer2
4,15640386.0,layer3.0.conv1
4,406190208.0,layer3.0.bn1
4,10566803.0,layer3.0.relu
4,5800535.5,layer3.0.conv2
4,251707696.0,layer3.0.bn2
4,15640386.0,layer3.0.downsample.0
4,116595704.0,layer3.0.downsample.1
4,15640386.0,layer3.0.downsample
4,15640386.0,layer3.0
4,10566803.0,layer3.1.conv1
4,300109056.0,layer3.1.bn1
4,16983136.0,layer3.1.relu
4,8247622.0,layer3.1.conv2
4,1006343232.0,layer3.1.bn2
4,10566803.0,layer3.1
4,15640386.0,layer3
4,16983136.0,layer4.0.conv1
4,1899533312.0,layer4.0.bn1
4,1871514.5,layer4.0.relu
4,5419669.5,layer4.0.conv2
4,1663781888.0,layer4.0.bn2
4,16983136.0,layer4.0.downsample.0
4,1855332608.0,layer4.0.downsample.1
4,16983136.0,layer4.0.downsample
4,16983136.0,layer4.0
4,1871514.5,layer4.1.conv1
4,128836440.0,layer4.1.bn1
4,182910.15625,layer4.1.relu
4,8521729.0,layer4.1.conv2
4,3566419456.0,layer4.1.bn2
4,1871514.5,layer4.1
4,16983136.0,layer4
4,182910.15625,avgpool
4,182910.15625,fc
4,10345503.0,
5,10776752.0,conv1
5,278557152.0,bn1
5,7506670.5,relu
5,7506670.5,maxpool
5,4233330.0,layer1.0.conv1
5,59116964.0,layer1.0.bn1
5,7357629.0,layer1.0.relu
5,3708177.0,layer1.0.conv2
5,56372056.0,layer1.0.bn2
5,4233330.0,layer1.0
5,7357629.0,layer1.1.conv1
5,99749848.0,layer1.1.bn1
5,11460564.0,layer1.1.relu
5,4483852.5,layer1.1.conv2
5,58497084.0,layer1.1.bn2
5,7357629.0,layer1.1
5,4233330.0,layer1
5,11460564.0,layer2.0.conv1
5,132096832.0,layer2.0.bn1
5,7612132.0,layer2.0.relu
5,3998478.5,layer2.0.conv2
5,84647888.0,layer2.0.bn2
5,11460564.0,layer2.0.downsample.0
5,23586812.0,layer2.0.downsample.1
5,11460564.0,layer2.0.downsample
5,11460564.0,layer2.0
5,7612132.0,layer2.1.conv1
5,144938800.0,layer2.1.bn1
5,12487445.0,layer2.1.relu
5,5360183.0,layer2.1.conv2
5,114074352.0,layer2.1.bn2
5,7612132.0,layer2.1
5,11460564.0,layer2
