epoch,value,split
0,0.07483333333333334,train
0,0.0707,test
1,0.9227,train
1,0.9269,test
2,0.94925,train
2,0.9496,test
3,0.9609666666666666,train
3,0.9602,test
4,0.9682666666666667,train
4,0.9662,test
5,0.9729666666666666,train
5,0.9707,test
7,0.9781,train
7,0.9747,test
10,0.9827166666666667,train
10,0.978,test
14,0.9853833333333334,train
14,0.9795,test
20,0.9872833333333333,train
20,0.9812,test
30,0.9874333333333334,train
30,0.979,test
40,0.9887833333333333,train
40,0.9806,test
50,0.98995,train
50,0.9805,test
70,0.9904333333333334,train
70,0.98,test
100,0.9931833333333333,train
100,0.9816,test
130,0.9935666666666667,train
130,0.9817,test
160,0.9940666666666667,train
160,0.9824,test
200,0.9943,train
200,0.9822,test
