epoch,value,layer_name
0,2459337.0,model.0
0,2459337.0,model.1
0,1002882.6875,model.2
0,668473.125,model.3
0,383648.25,model.4
0,257631.3125,model.5
0,151055.90625,model.6
0,101737.2578125,model.7
0,58671.2890625,model.8
0,40571.2421875,model.9
0,24004.40625,model.10
0,16453.72265625,model.11
0,2459337.0,model
0,2459337.0,
1,2579164.0,model.0
1,2579164.0,model.1
1,735334.125,model.2
1,486700.25,model.3
1,233494.1875,model.4
1,174098.265625,model.5
1,104144.734375,model.6
1,80783.4140625,model.7
1,53795.4140625,model.8
1,40625.6328125,model.9
1,27127.08203125,model.10
1,20233.44140625,model.11
1,2579164.0,model
1,2579164.0,
2,2514663.0,model.0
2,2514663.0,model.1
2,741230.8125,model.2
2,439634.1875,model.3
2,172767.671875,model.4
2,121506.640625,model.5
2,63611.08203125,model.6
2,46374.421875,model.7
2,29723.994140625,model.8
2,21368.66015625,model.9
2,14482.7314453125,model.10
2,10586.103515625,model.11
2,2514663.0,model
2,2514663.0,
3,2456173.0,model.0
3,2456173.0,model.1
3,736551.0,model.2
3,415308.96875,model.3
3,135706.421875,model.4
3,94395.0546875,model.5
3,45220.8359375,model.6
3,32245.4375,model.7
3,20591.587890625,model.8
3,14495.3837890625,model.9
3,9958.9326171875,model.10
3,7282.0126953125,model.11
3,2456173.0,model
3,2456173.0,
4,2557858.0,model.0
4,2557858.0,model.1
4,771502.25,model.2
4,419257.4375,model.3
4,113553.3359375,model.4
4,78636.5078125,model.5
4,35584.55859375,model.6
4,25173.1640625,model.7
4,16270.763671875,model.8
4,11371.5048828125,model.9
4,7924.298828125,model.10
4,5864.140625,model.11
4,2557858.0,model
4,2557858.0,
5,2546754.0,model.0
5,2546754.0,model.1
5,762018.4375,model.2
5,404535.1875,model.3
5,94732.09375,model.4
5,65299.94140625,model.5
5,29611.68359375,model.6
5,20620.638671875,model.7
5,13691.03515625,model.8
5,9449.1328125,model.9
5,6668.10498046875,model.10
5,4948.205078125,model.11
5,2546754.0,model
5,2546754.0,
7,2472084.0,model.0
7,2472084.0,model.1
7,721522.5625,model.2
7,376089.875,model.3
7,68518.9921875,model.4
7,47192.4453125,model.5
7,22463.0703125,model.6
7,15456.2763671875,model.7
7,10625.9990234375,model.8
7,7276.19580078125,model.9
7,5178.25390625,model.10
7,3897.63720703125,model.11
7,2472084.0,model
7,2472084.0,
10,2661232.5,model.0
10,2661232.5,model.1
10,759668.6875,model.2
10,384358.8125,model.3
10,53272.90625,model.4
10,35846.80859375,model.5
10,19147.453125,model.6
10,12955.2763671875,model.7
10,9216.68359375,model.8
10,6241.734375,model.9
10,4499.6396484375,model.10
10,3411.839111328125,model.11
10,2661232.5,model
10,2661232.5,
14,2472904.5,model.0
14,2472904.5,model.1
14,695410.4375,model.2
