epoch,value,split
0,0.09871666666666666,train
0,0.098,test
1,0.11236666666666667,train
1,0.1135,test
2,0.10218333333333333,train
2,0.101,test
3,0.09751666666666667,train
3,0.0974,test
4,0.09871666666666666,train
4,0.098,test
5,0.09871666666666666,train
5,0.098,test
7,0.10218333333333333,train
7,0.101,test
10,0.09871666666666666,train
10,0.098,test
14,0.10441666666666667,train
14,0.1028,test
20,0.11236666666666667,train
20,0.1135,test
30,0.11236666666666667,train
30,0.1135,test
40,0.11236666666666667,train
40,0.1135,test
50,0.09871666666666666,train
50,0.098,test
70,0.11236666666666667,train
70,0.1135,test
100,0.10441666666666667,train
100,0.1028,test
130,0.11236666666666667,train
130,0.1135,test
160,0.11236666666666667,train
160,0.1135,test
200,0.11236666666666667,train
200,0.1135,test
