epoch,value,split
0,0.05215,train
0,0.0478,test
1,0.11341666666666667,train
1,0.1118,test
2,0.11376666666666667,train
2,0.1129,test
3,0.12368333333333334,train
3,0.1251,test
4,0.20728333333333335,train
4,0.2098,test
5,0.21111666666666667,train
5,0.2128,test
7,0.21976666666666667,train
7,0.2182,test
10,0.3083,train
10,0.3096,test
14,0.5988333333333333,train
14,0.6018,test
20,0.9871166666666666,train
20,0.985,test
30,0.9864833333333334,train
30,0.9818,test
40,0.9929666666666667,train
40,0.9923,test
50,0.99205,train
50,0.9889,test
70,0.99495,train
70,0.9916,test
100,0.9983166666666666,train
100,0.9935,test
130,0.9990166666666667,train
130,0.9928,test
160,0.9998,train
160,0.9949,test
200,0.9998,train
200,0.9944,test
