epoch,value,layer_name
0,2522205.25,conv1
0,5851132.5,bn1
0,3788488.75,relu
0,3788488.75,maxpool
0,1962243.5,layer1.0.conv1
0,2758124.25,layer1.0.bn1
0,2891310.0,layer1.0.relu
0,1863102.0,layer1.0.conv2
0,2531193.5,layer1.0.bn2
0,1962243.5,layer1.0
0,2891310.0,layer1.1.conv1
0,3944203.75,layer1.1.bn1
0,4095096.5,layer1.1.relu
0,2903605.5,layer1.1.conv2
0,3838772.0,layer1.1.bn2
0,2891310.0,layer1.1
0,1962243.5,layer1
0,4095096.5,layer2.0.conv1
0,2767630.75,layer2.0.bn1
0,2437641.5,layer2.0.relu
0,1819866.25,layer2.0.conv2
0,2282779.75,layer2.0.bn2
0,4095096.5,layer2.0.downsample.0
0,2928374.25,layer2.0.downsample.1
0,4095096.5,layer2.0.downsample
0,4095096.5,layer2.0
0,2437641.5,layer2.1.conv1
0,3005261.25,layer2.1.bn1
0,2980138.5,layer2.1.relu
0,2042000.5,layer2.1.conv2
0,2549553.5,layer2.1.bn2
0,2437641.5,layer2.1
0,4095096.5,layer2
0,2980138.5,layer3.0.conv1
0,1817721.0,layer3.0.bn1
0,1581172.625,layer3.0.relu
0,1196368.75,layer3.0.conv2
0,1124197.5,layer3.0.bn2
0,2980138.5,layer3.0.downsample.0
0,1969225.125,layer3.0.downsample.1
0,2980138.5,layer3.0.downsample
0,2980138.5,layer3.0
0,1581172.625,layer3.1.conv1
0,1497420.75,layer3.1.bn1
0,1701175.5,layer3.1.relu
0,1070075.5,layer3.1.conv2
0,994530.9375,layer3.1.bn2
0,1581172.625,layer3.1
0,2980138.5,layer3
0,1701175.5,layer4.0.conv1
0,824520.1875,layer4.0.bn1
0,647591.5,layer4.0.relu
0,601518.8125,layer4.0.conv2
0,279202.75,layer4.0.bn2
0,1701175.5,layer4.0.downsample.0
0,885955.125,layer4.0.downsample.1
0,1701175.5,layer4.0.downsample
0,1701175.5,layer4.0
0,647591.5,layer4.1.conv1
0,313041.3125,layer4.1.bn1
0,635353.0625,layer4.1.relu
0,228091.671875,layer4.1.conv2
0,106202.015625,layer4.1.bn2
0,647591.5,layer4.1
0,1701175.5,layer4
0,635353.0625,avgpool
0,635353.0625,fc
0,2522205.25,
1,2552195.5,conv1
1,75468672.0,bn1
1,5666703.0,relu
1,5666703.0,maxpool
1,3239764.75,layer1.0.conv1
1,73137528.0,layer1.0.bn1
1,3969005.0,layer1.0.relu
1,1565244.375,layer1.0.conv2
1,26290276.0,layer1.0.bn2
1,3239764.75,layer1.0
1,3969005.0,layer1.1.conv1
1,88825352.0,layer1.1.bn1
1,5482208.5,layer1.1.relu
1,1793976.125,layer1.1.conv2
