epoch,value,split
0,0.1,train
0,0.1002,test
1,0.13518,train
1,0.1453,test
2,0.13196,train
2,0.1401,test
3,0.13638,train
3,0.1518,test
4,0.13758,train
4,0.1499,test
5,0.14078,train
5,0.1547,test
7,0.14392,train
7,0.1553,test
10,0.14216,train
10,0.1567,test
14,0.14414,train
14,0.1579,test
20,0.15056,train
20,0.1632,test
30,0.15748,train
30,0.1646,test
40,0.18774,train
40,0.191,test
50,0.221,train
50,0.2297,test
70,0.33758,train
70,0.3445,test
100,0.4109,train
100,0.4242,test
130,0.50394,train
130,0.5034,test
160,0.58096,train
160,0.5981,test
200,0.61264,train
200,0.6297,test
