epoch,value,layer_name,trace
0,213.8240089416504,maxpool,within
0,11.66783121228218,maxpool,between
0,225.49184015393257,maxpool,sum
0,518.4218711853027,layer1,within
0,27.61432009935379,layer1,between
0,546.0361912846565,layer1,sum
0,214.9877586364746,layer2,within
0,11.110562190413475,layer2,between
0,226.09832082688808,layer2,sum
0,71.00028944015503,layer3,within
0,4.053778126835823,layer3,between
0,75.05406756699085,layer3,sum
0,11.37050712108612,layer4,within
0,0.5647008055821061,layer4,between
0,11.935207926668227,layer4,sum
0,11.37050712108612,avgpool,within
0,0.5647008055821061,avgpool,between
0,11.935207926668227,avgpool,sum
1,3153.3233184814453,maxpool,within
1,240.0934476852417,maxpool,between
1,3393.416766166687,maxpool,sum
1,14365.13623046875,layer1,within
1,1481.6494932174683,layer1,between
1,15846.785723686218,layer1,sum
1,4690.156929016113,layer2,within
1,396.6133179664612,layer2,between
1,5086.7702469825745,layer2,sum
1,2858.9647941589355,layer3,within
1,177.55369153618813,layer3,between
1,3036.5184856951237,layer3,sum
1,0.4289193986915052,layer4,within
1,0.01117243727640016,layer4,between
1,0.44009183596790535,layer4,sum
1,0.4289193986915052,avgpool,within
1,0.01117243727640016,avgpool,between
1,0.44009183596790535,avgpool,sum
2,3008.771728515625,maxpool,within
2,230.5896863937378,maxpool,between
2,3239.361414909363,maxpool,sum
2,13903.138977050781,layer1,within
2,1458.4386501312256,layer1,between
2,15361.577627182007,layer1,sum
2,4672.430038452148,layer2,within
2,408.79469180107117,layer2,between
2,5081.22473025322,layer2,sum
2,2909.159938812256,layer3,within
2,188.95674428343773,layer3,between
2,3098.1166830956936,layer3,sum
2,0.3904212350025773,layer4,within
2,0.00978100742213428,layer4,between
2,0.4002022424247116,layer4,sum
2,0.3904212350025773,avgpool,within
2,0.00978100742213428,avgpool,between
2,0.4002022424247116,avgpool,sum
3,2838.869888305664,maxpool,within
3,218.09135127067566,maxpool,between
3,3056.9612395763397,maxpool,sum
3,13079.983703613281,layer1,within
3,1367.7907342910767,layer1,between
3,14447.774437904358,layer1,sum
3,4410.714790344238,layer2,within
3,382.45270597934723,layer2,between
3,4793.1674963235855,layer2,sum
3,2804.887321472168,layer3,within
3,180.59088472276926,layer3,between
3,2985.4782061949372,layer3,sum
3,0.4291367782279849,layer4,within
3,0.010868361134271254,layer4,between
3,0.44000513936225616,layer4,sum
3,0.4291367782279849,avgpool,within
3,0.010868361134271254,avgpool,between
3,0.44000513936225616,avgpool,sum
4,2655.9685821533203,maxpool,within
4,204.09733891487122,maxpool,between
4,2860.0659210681915,maxpool,sum
4,12140.859985351562,layer1,within
4,1274.5138130187988,layer1,between
4,13415.373798370361,layer1,sum
4,4001.776168823242,layer2,within
4,348.39582645893097,layer2,between
4,4350.171995282173,layer2,sum
4,2458.088035583496,layer3,within
4,158.14460315555334,layer3,between
4,2616.2326387390494,layer3,sum
4,0.33701666072010994,layer4,within
4,0.009019841711051413,layer4,between
4,0.34603650243116135,layer4,sum
4,0.33701666072010994,avgpool,within
4,0.009019841711051413,avgpool,between
4,0.34603650243116135,avgpool,sum
5,2442.504135131836,maxpool,within
5,188.23595190048218,maxpool,between
5,2630.740087032318,maxpool,sum
5,11090.25244140625,layer1,within
5,1162.7102518081665,layer1,between
5,12252.962693214417,layer1,sum
5,3601.011260986328,layer2,within
5,309.11334121227264,layer2,between
5,3910.1246021986008,layer2,sum
5,2179.1050567626953,layer3,within
5,136.31255639344454,layer3,between
5,2315.41761315614,layer3,sum
5,0.29023015266284347,layer4,within
5,0.007557884922789526,layer4,between
5,0.297788037585633,layer4,sum
5,0.29023015266284347,avgpool,within
5,0.007557884922789526,avgpool,between
5,0.297788037585633,avgpool,sum
7,2139.4710540771484,maxpool,within
7,163.96333360671997,maxpool,between
7,2303.4343876838684,maxpool,sum
7,9729.02310180664,layer1,within
7,1017.0239591598511,layer1,between
7,10746.047060966492,layer1,sum
7,3173.7709579467773,layer2,within
7,273.3095188140869,layer2,between
7,3447.0804767608643,layer2,sum
7,1938.060562133789,layer3,within
7,121.5730656310916,layer3,between
7,2059.6336277648807,layer3,sum
7,0.282144945114851,layer4,within
7,0.007495278192436672,layer4,between
7,0.28964022330728767,layer4,sum
7,0.282144945114851,avgpool,within
7,0.007495278192436672,avgpool,between
7,0.28964022330728767,avgpool,sum
10,1748.4923782348633,maxpool,within
10,132.94037687778473,maxpool,between
10,1881.432755112648,maxpool,sum
10,7926.799224853516,layer1,within
10,816.4296922683716,layer1,between
10,8743.228917121887,layer1,sum
