epoch,value,split
0,0.1,train
0,0.1,test
1,0.31178,train
1,0.3078,test
2,0.35226,train
2,0.3627,test
3,0.37758,train
3,0.3778,test
4,0.4026,train
4,0.4149,test
5,0.4186,train
5,0.4197,test
7,0.45154,train
7,0.4564,test
10,0.47186,train
10,0.4918,test
14,0.49284,train
14,0.5068,test
20,0.51926,train
20,0.5203,test
30,0.53556,train
30,0.5416,test
40,0.5462,train
40,0.5522,test
50,0.55946,train
50,0.5563,test
60,0.57184,train
60,0.5612,test
80,0.57748,train
80,0.5723,test
100,0.58962,train
100,0.5749,test
125,0.74226,train
125,0.6211,test
150,0.78544,train
150,0.6098,test
175,0.83046,train
175,0.6075,test
200,0.85414,train
200,0.596,test
225,0.97016,train
225,0.6134,test
250,0.98024,train
250,0.6097,test
275,0.9849,train
275,0.6055,test
300,0.98536,train
300,0.6025,test
