epoch,value,layer_name
0,254521.78125,model.block0.fc
0,84862.1015625,model.block0.relu
0,53736.890625,model.block1.fc
0,30932.01953125,model.block1.relu
0,19856.375,model.block2.fc
0,11349.78515625,model.block2.relu
0,7369.86865234375,model.block3.fc
0,4284.6845703125,model.block3.relu
0,2838.585693359375,model.block4.fc
0,1622.2578125,model.block4.relu
0,1117.0546875,model.block5.fc
0,646.6277465820312,model.block5.relu
0,444.81121826171875,model.block6.fc
0,257.66650390625,model.block6.relu
0,174.85235595703125,model.block7.fc
0,101.10963439941406,model.block7.relu
0,70.326904296875,model.block8.fc
0,39.424922943115234,model.block8.relu
0,27.058073043823242,model.block9.fc
0,15.80196762084961,model.block9.relu
0,11.448771476745605,model.fc
1,254844.78125,model.block0.fc
1,101370.109375,model.block0.relu
1,63000.046875,model.block1.fc
1,97377.28125,model.block1.relu
1,62273.41015625,model.block2.fc
1,95044.9453125,model.block2.relu
1,63122.65625,model.block3.fc
1,95757.734375,model.block3.relu
1,65234.671875,model.block4.fc
1,98829.859375,model.block4.relu
1,69416.96875,model.block5.fc
1,103925.515625,model.block5.relu
1,76381.140625,model.block6.fc
1,115180.65625,model.block6.relu
1,88448.71875,model.block7.fc
1,135394.59375,model.block7.relu
1,107380.546875,model.block8.fc
1,194202.78125,model.block8.relu
1,141277.46875,model.block9.fc
1,327318.84375,model.block9.relu
1,28783.416015625,model.fc
2,255282.53125,model.block0.fc
2,96198.6875,model.block0.relu
2,59574.82421875,model.block1.fc
2,90790.3125,model.block1.relu
2,57805.0625,model.block2.fc
2,86823.171875,model.block2.relu
2,57785.734375,model.block3.fc
2,85334.109375,model.block3.relu
2,58792.7578125,model.block4.fc
2,88327.7265625,model.block4.relu
2,63645.49609375,model.block5.fc
2,96320.0703125,model.block5.relu
2,73907.984375,model.block6.fc
2,112353.859375,model.block6.relu
2,91815.8515625,model.block7.fc
2,145450.3125,model.block7.relu
2,120605.921875,model.block8.fc
2,233359.359375,model.block8.relu
2,175613.90625,model.block9.fc
2,406546.09375,model.block9.relu
2,19354.478515625,model.fc
3,256021.53125,model.block0.fc
3,90959.734375,model.block0.relu
3,56040.06640625,model.block1.fc
3,83910.0625,model.block1.relu
3,53241.5859375,model.block2.fc
3,78278.28125,model.block2.relu
3,51777.19921875,model.block3.fc
3,74094.1328125,model.block3.relu
3,50596.71875,model.block4.fc
3,71898.859375,model.block4.relu
3,50375.78125,model.block5.fc
3,71026.3984375,model.block5.relu
3,52808.140625,model.block6.fc
3,74353.8828125,model.block6.relu
3,59066.05859375,model.block7.fc
3,88022.359375,model.block7.relu
3,71134.6484375,model.block8.fc
3,144040.46875,model.block8.relu
3,107509.875,model.block9.fc
3,294884.65625,model.block9.relu
3,10202.724609375,model.fc
4,254831.265625,model.block0.fc
4,84960.125,model.block0.relu
4,52352.921875,model.block1.fc
4,77376.609375,model.block1.relu
4,48865.203125,model.block2.fc
4,70587.3671875,model.block2.relu
4,46659.859375,model.block3.fc
4,66228.375,model.block3.relu
4,45225.99609375,model.block4.fc
4,64054.15625,model.block4.relu
4,45400.71875,model.block5.fc
4,66058.78125,model.block5.relu
4,49884.53125,model.block6.fc
4,74395.3359375,model.block6.relu
4,60213.7109375,model.block7.fc
4,97250.296875,model.block7.relu
4,81580.375,model.block8.fc
4,173176.734375,model.block8.relu
4,131571.25,model.block9.fc
4,356051.90625,model.block9.relu
4,9655.517578125,model.fc
5,255706.0,model.block0.fc
5,81583.4375,model.block0.relu
5,50129.32421875,model.block1.fc
5,72887.125,model.block1.relu
5,46028.6328125,model.block2.fc
5,65049.390625,model.block2.relu
5,43105.50390625,model.block3.fc
5,60049.28515625,model.block3.relu
5,41404.609375,model.block4.fc
5,58525.38671875,model.block4.relu
5,42183.1171875,model.block5.fc
5,60339.640625,model.block5.relu
5,46752.8828125,model.block6.fc
5,67748.828125,model.block6.relu
5,55654.4921875,model.block7.fc
5,84643.4296875,model.block7.relu
5,70204.9375,model.block8.fc
5,142595.96875,model.block8.relu
5,106191.828125,model.block9.fc
5,293242.375,model.block9.relu
5,5962.7392578125,model.fc
7,255720.390625,model.block0.fc
7,72795.90625,model.block0.relu
7,44481.9375,model.block1.fc
7,63032.390625,model.block1.relu
7,39789.2578125,model.block2.fc
7,53668.77734375,model.block2.relu
7,35343.58203125,model.block3.fc
7,47828.4296875,model.block3.relu
7,32557.01953125,model.block4.fc
7,44780.37890625,model.block4.relu
7,31810.4921875,model.block5.fc
7,44894.66796875,model.block5.relu
7,34056.1875,model.block6.fc
