epoch,value,layer_name
0,"[ 207336.    -667665.3   -889659.    ...   21956.889  -16976.11
    9400.409]",model.block0.fc
0,[ 13441.684 528463.75  161170.72  ... -20415.652 -19526.96   21675.406],model.block0.relu
0,[250653.19  268002.4   162686.17  ... -33064.844 -43512.68   37327.957],model.block1.fc
0,"[-177006.1   -114759.07   239049.12  ...  -27439.303  -36279.723
   21744.857]",model.block1.relu
0,"[302056.25    173043.84     -2062.977   ... -14152.262      507.08594
  50796.24   ]",model.block2.fc
0,[90335.84   36026.1     4867.2227 ...  7210.656  38949.     22314.69  ],model.block2.relu
0,"[-1884369.    -1792323.2   -1519761.8   ...   -34503.254   180171.23
    61894.785]",model.block3.fc
0,"[409086.72    23923.385   92536.08   ... -24495.3     23522.885
   1013.9336]",model.block3.relu
0,"[127587.03    89939.86   341247.44   ...  -7469.3315   1079.6406
  -7812.704 ]",model.block4.fc
0,[264122.2    57166.547 -13399.365 ...   8924.112 -12443.576 -23741.934],model.block4.relu
0,[125842.32   61114.96   84231.66  ...  60984.188 -32089.125 -22283.004],model.block5.fc
0,[229531.02  -15076.974  24308.54  ...   8725.201  32480.342  13231.38 ],model.block5.relu
0,"[-9.3547650e+06 -2.0388435e+06  2.1862266e+07 ...  3.7143309e-08
 -5.5810773e+04 -9.1541912e+05]",model.block6.fc
0,"[ 594719.3   -139751.22   196412.9   ...   18968.377   36161.89
   29762.725]",model.block6.relu
0,[298613.3   299003.88   14666.682 ...      0.         0.     20162.996],model.block7.fc
0,"[ 328785.75   185208.    -426189.7   ...  -72726.484  -35482.64
  -14973.761]",model.block7.relu
0,[461033.34   74960.48   98159.66  ... -64472.836      0.     -8128.   ],model.block8.fc
0,[124093.88   70553.41   98270.24  ...  12688.325 -39550.594  23600.02 ],model.block8.relu
0,[    0.       0.       0.   ... 48116.29     0.       0.  ],model.block9.fc
0,"[ 173320.28      1179.6367 -255191.75   ...    3457.582    20299.223
  -46530.168 ]",model.block9.relu
0,[ 23559.406  54765.6   -21588.    ...  15341.309      0.    -40142.16 ],model.fc
1,"[-246823.       153653.9       72355.22    ...    4971.706      1555.839
    -396.97052]",model.block0.fc
